,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
373,KANSAS,2008,8556,2802134.0,11554.0,94882.0
374,KENTUCKY,2008,15260,4269245.0,12690.0,114492.0
375,LOUISIANA,2008,20857,4410796.0,29613.0,171179.0
376,MAINE,2008,2047,1316456.0,1572.0,32433.0
377,MARYLAND,2008,23141,5633597.0,35393.0,198165.0
378,MASSACHUSETTS,2008,11174,6497967.0,30137.0,155919.0
379,MICHIGAN,2008,48738,10003422.0,51512.0,295100.0
380,MINNESOTA,2008,9031,5220393.0,13853.0,149517.0
381,MISSISSIPPI,2008,17896,2938618.0,8942.0,85488.0
382,MISSOURI,2008,30137,5911605.0,29701.0,216522.0
383,MONTANA,2008,2910,967440.0,3013.0,26300.0
384,NEBRASKA,2008,4470,1783432.0,5570.0,51350.0
385,NEVADA,2008,12877,2600167.0,18973.0,90006.0
386,NEW HAMPSHIRE,2008,2854,1315809.0,2054.0,28387.0
387,NEW JERSEY,2008,24835,8682661.0,28351.0,199127.0
388,NEW MEXICO,2008,6321,1984356.0,12967.0,75718.0
389,NEW YORK,2008,60198,19490297.0,77546.0,388599.0
390,NORTH CAROLINA,2008,39957,9222414.0,43125.0,372763.0
391,NORTH DAKOTA,2008,1379,641481.0,1441.0,13029.0
392,OHIO,2008,50884,11485910.0,40436.0,391667.0
393,OKLAHOMA,2008,23676,3642361.0,19359.0,126535.0
394,OREGON,2008,13541,3790060.0,9909.0,125169.0
395,PENNSYLVANIA,2008,48736,12448279.0,51044.0,300294.0
396,RHODE ISLAND,2008,3739,1050788.0,2656.0,29895.0
397,SOUTH CAROLINA,2008,23685,4479800.0,32746.0,189950.0
398,SOUTH DAKOTA,2008,3352,804194.0,2227.0,13867.0
399,TENNESSEE,2008,19379,6214888.0,44913.0,251089.0
400,TEXAS,2008,159237,24326974.0,123585.0,969865.0
401,UTAH,2008,5132,2736424.0,6165.0,92373.0
402,VERMONT,2008,2116,621270.0,854.0,15903.0
403,VIRGINIA,2008,32585,7769089.0,20031.0,196726.0
404,WASHINGTON,2008,17188,6549224.0,21888.0,249283.0
405,WEST VIRGINIA,2008,4896,1814468.0,5006.0,45971.0
406,WISCONSIN,2008,22282,5627967.0,15507.0,155456.0
407,WYOMING,2008,1704,532668.0,1330.0,14515.0
409,ALABAMA,2009,27241,4708708.0,21194.0,178007.0
410,ALASKA,2009,5472,698473.0,4424.0,20538.0
411,ARIZONA,2009,40544,6595778.0,28128.0,236721.0
412,ARKANSAS,2009,13338,2889450.0,14905.0,109078.0
413,CALIFORNIA,2009,168830,36961664.0,174934.0,1009433.0
414,COLORADO,2009,22725,5024748.0,17022.0,134196.0
415,CONNECTICUT,2009,18938,3518288.0,10588.0,82625.0
416,DELAWARE,2009,6581,885122.0,5713.0,29685.0
417,FLORIDA,2009,101373,18537969.0,113541.0,712010.0
418,GEORGIA,2009,53538,9829211.0,42073.0,360985.0
419,HAWAII,2009,4848,1295178.0,3550.0,47516.0
420,IDAHO,2009,7184,1545801.0,3805.0,31220.0
421,ILLINOIS,2009,45161,12910409.0,64185.0,353347.0
422,INDIANA,2009,26748,6423113.0,21455.0,199907.0
423,IOWA,2009,8914,3007856.0,8485.0,70080.0
424,KANSAS,2009,8644,2818747.0,11460.0,90930.0
425,KENTUCKY,2009,14984,4314113.0,11000.0,108914.0
426,LOUISIANA,2009,19889,4492076.0,28878.0,172619.0
427,MAINE,2009,2074,1318301.0,1580.0,31706.0
428,MARYLAND,2009,22066,5699478.0,33625.0,182295.0
429,MASSACHUSETTS,2009,11156,6593587.0,30503.0,153178.0
430,MICHIGAN,2009,45478,9969727.0,49825.0,284019.0
431,MINNESOTA,2009,9500,5266214.0,12874.0,139286.0
432,MISSISSIPPI,2009,17212,2951996.0,8451.0,87327.0
433,MISSOURI,2009,30519,5987580.0,29513.0,201783.0
434,MONTANA,2009,3085,974989.0,2798.0,24826.0
435,NEBRASKA,2009,4490,1796619.0,5199.0,49731.0
436,NEVADA,2009,12570,2643085.0,18639.0,80976.0
437,NEW HAMPSHIRE,2009,2915,1324575.0,2125.0,28790.0
