,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
281,NEW_HAMPSHIRE,2010,2856965.0,1612216.0,14294.0,15407.0,182741.0,,,,,2617,1316807.0,2204.0,29230.0,2182.0,0.35714285714285715,4.285714285714286,2.142857142857143,0.35714285714285715,81.78571428571428,0.0,2.903225806451613,3.225806451612903,0.0,2.258064516129032,91.61290322580645
282,NEW_HAMPSHIRE,2011,3001244.0,1654129.0,14190.0,15164.0,179985.0,251.77883680000002,292.1087397,230.3926764,266.76205130000005,2423,1317807.0,2864.0,32756.0,261.0,0.0,3.4482758620689653,3.4482758620689653,3.4482758620689653,127.58620689655173,0.0,0.0,0.0,0.0,8.695652173913043,91.30434782608695
283,NEW_HAMPSHIRE,2012,2961684.0,1654634.0,13907.0,14784.0,177082.0,,,,,2568,1321617.0,2841.0,32074.0,3034.0,0.3508771929824561,4.912280701754386,2.1052631578947367,0.3508771929824561,79.64912280701755,0.0,4.29042904290429,2.6402640264026402,0.0,0.6600660066006601,92.4092409240924
284,NEW_HAMPSHIRE,2013,2878534.0,1642945.0,13953.0,14690.0,174695.0,252.9935252,295.6651233,231.99836639999998,271.7657825,2623,1322616.0,2952.0,29278.0,1739.0,0.0,8.227848101265822,2.5316455696202533,0.0,81.64556962025317,0.0,3.669724770642202,4.587155963302752,0.0,0.0,91.74311926605505
285,NEW_HAMPSHIRE,2014,2960615.0,1682021.0,13590.0,14423.0,173072.0,,,,,2723,1326813.0,2602.0,26041.0,1095.0,0.819672131147541,1.639344262295082,4.918032786885246,0.819672131147541,80.32786885245902,0.0,2.8901734104046244,2.312138728323699,0.0,0.5780346820809248,94.21965317919076
286,NEW_JERSEY,2001,17144456.0,8782754.0,101038.0,97127.0,1173513.0,,,,,26052,8511116.0,33094.0,240551.0,34970.0,0.26913875598086123,59.27033492822966,20.245215311004785,0.3588516746411483,19.64712918660287,0.16004655899898151,62.69460206605558,18.900043649061544,0.058198748726902366,0.0,18.187108977156992
287,NEW_JERSEY,2002,18155147.0,9328162.0,101577.0,101559.0,1202875.0,,,,,26301,8575252.0,32252.0,227715.0,75998.0,0.3523608174770966,71.19450317124736,13.79492600422833,0.1937984496124031,17.019027484143763,0.10825214422516445,70.96344408360396,15.513364976267798,0.041635440086601715,0.0,13.373303355816471
288,NEW_JERSEY,2003,19812932.0,10169992.0,99937.0,103603.0,1217125.0,238.7765412,281.40711989999994,225.07332799999998,264.3782925,25718,8642412.0,31488.0,220350.0,73487.0,0.3068530514831231,69.22945789294238,13.314012956017729,0.13637913399249915,17.780429594272075,0.11922230374174615,70.90058694057227,15.022010271460015,0.036683785766691124,0.0,13.921496698459283
289,NEW_JERSEY,2004,21467607.0,10880932.0,100557.0,104437.0,1238767.0,,,,,25435,8685166.0,30943.0,211313.0,78875.0,0.9437724312109531,51.54858434135319,21.826399042934998,0.5582879170543665,23.075900571580487,0.6598367772182671,59.498176766799794,19.682236499392257,0.07813856572321584,0.008682062858135092,20.072929328008335
290,NEW_JERSEY,2005,23023365.0,11575456.0,98565.0,103587.0,1241033.0,243.97893140000002,283.9026042,223.2983935,268.35667290000004,25619,8703150.0,30919.0,203391.0,71696.0,2.3868186017862643,49.3994456421312,17.72405297197413,1.9556513704958423,36.972590083153676,0.7142128354249566,55.32088562391593,21.344760738700135,0.09182736455463728,0.020406081012141617,22.507907356392202
291,NEW_JERSEY,2006,24177714.0,12309954.0,98149.0,102827.0,1236155.0,,,,,25554,8724560.0,30550.0,198820.0,27113.0,1.236174365647365,47.267404033832136,24.788549121665582,0.29277813923227064,23.94274560832791,0.6960556844547563,54.34390306780098,22.299561742717195,0.10311936065996391,0.051559680329981955,22.505800464037122
292,NEW_JERSEY,2007,25572112.0,13250745.0,98195.0,100884.0,1234575.0,248.6215224,288.5834514,230.64697200000003,250.0635701,25354,8685920.0,28544.0,192338.0,69496.0,0.6848272713437833,63.0954192664739,20.286105615583626,0.1521838380763963,18.00334804443768,0.5658208823269384,70.05569799310406,15.171072407391033,0.03536380514543365,0.017681902572716825,14.154363009459816
293,NEW_JERSEY,2008,26168480.0,13739017.0,99242.0,100894.0,1235800.0,,,,,24835,8682661.0,28351.0,199127.0,49972.0,0.7917308115240819,52.76006157906312,19.375412359797668,0.21992522542335605,27.688585880800527,0.4828797190517998,62.3939127889962,14.574187884108866,0.0,0.029265437518290898,22.519754170324845
294,NEW_JERSEY,2009,26145334.0,13800343.0,99911.0,100749.0,1249534.0,246.52986980000003,292.6572271,229.3944864,266.8764602,24115,8707739.0,27113.0,180752.0,63719.0,0.6666666666666667,56.98245614035088,20.0,0.14035087719298245,19.228070175438596,0.4060262848594935,69.74035687573459,13.965167218719948,0.0,0.010684902233144567,15.877764718452825
295,NEW_JERSEY,2010,26736651.0,14481471.0,98641.0,99630.0,1253275.0,,,,,24488,8799593.0,27055.0,183042.0,63187.0,0.8051529790660225,54.252671643975994,20.933977455716587,0.1610305958132045,19.76284584980237,0.6759928645197634,68.94188339123087,14.036240728570087,0.0,0.018777579569993427,16.327105436109285
